Tỉnh/TP,Tổng số ca,24 giờ qua,Tử vong
TP. Hồ Chí Minh,518.116,+341,19.921
Bình Dương,293.312,+58,3.448
Hà Nội,176.475,+3.972,746
Đồng Nai,100.179,+47,1.762
Tây Ninh,89.692,+66,883
Khánh Hòa,64.136,+395,301
Cà Mau,57.900,+156,292
Vĩnh Long,54.231,+53,770
Bình Phước,49.283,+219,182
Bắc Ninh,49.112,+1.041,99
Đồng Tháp,47.720,+25,965
Đà Nẵng,45.763,+732,183
Cần Thơ,44.524,+22,903
Hải Phòng,44.212,+1.417,92
Bến Tre,42.577,+43,397
Long An,41.931,+4,1.081
Bình Định,39.402,+710,178
Trà Vinh,38.505,+50,51
Bạc Liêu,35.948,+37,376
An Giang,35.834,+17,1.257
Tiền Giang,35.433,+8,1.287
Kiên Giang,33.704,+46,855
Bà Rịa – Vũng Tàu,33.137,+494,457
Sóc Trăng,32.397,+21,584
Thanh Hóa,30.473,+796,30
Bình Thuận,30.094,+81,411
Nghệ An,29.429,+1.113,58
Hải Dương,27.737,+1.807,31
Nam Định,24.879,+1.354,33
Thừa Thiên Huế,24.392,+244,166
Quảng Nam,23.172,+571,55
Hưng Yên,23.050,+596,2
Bắc Giang,22.389,+855,19
Vĩnh Phúc,20.834,+1.135,14
Lâm Đồng,20.204,+362,78
Đắk Lắk,18.695,+372,94
Quảng Ninh,18.545,+1.246,13
Phú Thọ,18.540,+1.080,14
Hòa Bình,17.386,+898,37
Thái Nguyên,17.205,+1.294,16
Quảng Ngãi,16.555,+154,71
Hậu Giang,15.707,-,205
Hà Giang,13.504,+127,35
Thái Bình,13.323,+596,6
Gia Lai,12.664,+437,39
Phú Yên,12.418,+243,73
Ninh Bình,11.978,+1.136,29
Quảng Bình,10.895,+435,15
Đắk Nông,10.665,+210,31
Lạng Sơn,8.782,+784,23
Hà Nam,8.537,+226,7
Quảng Trị,8.270,+349,10
Sơn La,7.956,+599,0
Lào Cai,7.566,+661,10
Ninh Thuận,6.939,+10,58
Tuyên Quang,6.368,+373,5
Hà Tĩnh,5.685,+426,6
Yên Bái,5.393,+453,5
Kon Tum,4.419,+163,0
Điện Biên,4.038,+155,1
Cao Bằng,3.270,+245,7
Lai Châu,1.994,+135,0
Bắc Kạn,1.965,+92,2
